url,price,title
https://www.olx.com.pk/item/dell-6520-i5-2nd-gen-machine-IDWg9x1.html,"Rs 21,500","Dell 6520, i5 2nd Gen machine"
https://www.olx.com.pk/item/dell-6420-latitude-2nd-generation-IDWg9yg.html,"Rs 18,500","Dell 6420, latitude 2nd generation"
https://www.olx.com.pk/item/zong-wingle-cloud-IDUFsUz.html,"Rs 2,000","Zong Wingle , Cloud"
https://www.olx.com.pk/item/dell-17-inch-lcd-IDWcK9B.html,"Rs 2,999",Dell 17 inch lcd
https://www.olx.com.pk/item/wd-1tb-hdd-IDWg9xe.html,"Rs 3,600",Wd 1tb Hdd
https://www.olx.com.pk/item/optiplex-755-complete-pc-IDW4FFN.html,"Rs 7,000",Optiplex 755 Complete Pc
https://www.olx.com.pk/item/dell-latitude-5420-second-gen-i5-IDWg9z0.html,"Rs 18,500",Dell latitude 5420. second gen i5.
https://www.olx.com.pk/item/ptcl-charji-evo-cloud-chargeable-device-IDWd4Wi.html,"Rs 2,999",Ptcl charji evo cloud chargeable device
https://www.olx.com.pk/item/hp-8470-core-i5-3rd-gen-IDWfFzr.html,"Rs 21,500",Hp 8470 core i5 3rd gen
https://www.olx.com.pk/item/dell-vostro-core-i5-2nd-generation-6hrs-battery-sunday-open-also-IDUJI9M.html,"Rs 20,999",Dell Vostro Core i5 2nd Generation 6hrs+ Battery & SUNDAY OPEN ALSO
https://www.olx.com.pk/item/quadro-2000-ddr5-IDWg9zx.html,"Rs 7,500",Quadro 2000 Ddr5
https://www.olx.com.pk/item/dell-latitude-core-i7-2nd-320gb-hdd-dvd-super-90-days-warranty-IDWg9jV.html,"Rs 21,500",Dell Latitude Core i7 2nd 320GB HDD DVD Super 90 Days Warranty
https://www.olx.com.pk/item/i7-4th-generation-quadcore-processor-best-condition-IDWg9zm.html,"Rs 48,000",I7 4th generation quadcore processor - best condition
https://www.olx.com.pk/item/toshiba-laptop-c-40-b-i3-IDWel0e.html,"Rs 23,000",Toshiba laptop c 40-b i3
https://www.olx.com.pk/item/dell-core-i7-3rd-generation-3-0-ghz-a110-10-condition-like-new-IDUUXi3.html,"Rs 35,000",Dell Core I7 3rd Generation 3.0 GHZ A1(10/10) Condition Like NEW
https://www.olx.com.pk/item/dell-monitor-17-inch-IDUvfHb.html,"Rs 1,700",Dell monitor 17 inch
https://www.olx.com.pk/item/hp-laserjet-m1522n-3in1-copier-printer-scanner-fax-IDWbmKD.html,"Rs 9,999",Hp Laserjet M1522n 3in1 (copier+printer+scanner+Fax)
https://www.olx.com.pk/item/dell-laptop-e6500-hd80gb-ram4gb-pro-2-8-lighting-keyboard-10-10cndtn-IDW7Vq1.html,"Rs 14,000","Dell laptop e6500,hd80gb,ram4gb,pro 2.8,lighting keyboard,10/10cndtn"
https://www.olx.com.pk/item/hp-officejet-pro-k8600-a3-size-printer-IDWg9kG.html,"Rs 25,500",HP Officejet Pro K8600 A3 Size PRINTER
https://www.olx.com.pk/item/dell-toch-screen-IDW1ltB.html,"Rs 10,999",Dell toch screen
https://www.olx.com.pk/item/core-i5-latitude-gaming-laptop-with-dedicated-graphic-card-6gb-ram-IDWdipP.html,"Rs 28,000",Core i5 latitude gaming laptop with dedicated graphic card 6gb ram
https://www.olx.com.pk/item/order-now-dell-stylish-core-i5-3rd-gen-laptop-cod-available-in-karachi-IDWg9lm.html,"Rs 19,000",Order Now Dell Stylish Core i5 3rd Gen Laptop COD Available In Karachi
https://www.olx.com.pk/item/professional-tripod-with-3-way-panhead-4-digital-cameras-auto-delivry-IDWbN2J.html,"Rs 1,299","Professional Tripod With 3-Way Panhead 4 Digital Cameras ,auto delivry"
https://www.olx.com.pk/item/lenovo-laptop-b5400-IDWg9lB.html,"Rs 25,000",Lenovo laptop b5400
https://www.olx.com.pk/item/hp-laptop-sell-IDWg9lX.html,"Rs 30,000",Hp laptop sell
https://www.olx.com.pk/item/hp-officejet-8500a-a910-model-wifi-IDWg9mE.html,"Rs 6,900",HP Officejet 8500a (A910 Model WIFI)
https://www.olx.com.pk/item/printer-epson-t60-almost-new-IDWg9mq.html,"Rs 17,500",Printer Epson t60 almost new
https://www.olx.com.pk/item/veiwsonic-led-moniter-22inch-IDWg9mT.html,"Rs 4,500",Veiwsonic led moniter 22inch
https://www.olx.com.pk/item/dell-n5050-core-i5-2nd-generation-IDWg9nf.html,"Rs 25,000",Dell N5050 core i5 2nd generation
https://www.olx.com.pk/item/dell-core-i5-with-dual-graphic-card-15-6-display-8gb-ram-500gb-hard-IDUIvfm.html,"Rs 25,000","Dell Core i5 with Dual Graphic Card 15.6"" Display 8GB Ram & 500GB Hard"
https://www.olx.com.pk/item/dell-latitude-2100-mini-notebook-IDWbEc6.html,"Rs 7,900",Dell Latitude 2100 Mini Notebook
https://www.olx.com.pk/item/hp-25720p-core-i5-haroon-traders-free-sleeve-bag-and-led-light-IDWg99H.html,"Rs 18,000",Hp 25720p Core i5. HAROON TRADERS. Free Sleeve Bag And LED Light.
https://www.olx.com.pk/item/hp-14-ich-laptop-screen-and-other-parts-IDUBmQc.html,"Rs 9,000",Hp 14 ich laptop screen and other parts
https://www.olx.com.pk/item/samsung-laptop-tab-i5-touch-screen-IDWebEl.html,"Rs 20,000",Samsung Laptop tab i5 touch screen
https://www.olx.com.pk/item/lcd-20-x-4-for-arduino-IDWg99Z.html,Rs 390,(LCD - 20 x 4) for Arduino
